2026-04-28|10:15:00|Subscription Renewal|ChatGPT Plus|-20.00
2026-04-27|09:15:00|Morning Coffee|Starbucks|-6.50
2026-04-20|16:40:00|New Headphones|Bose|-329.00
2026-04-10|10:00:00|Project Milestone|Client X|5000.00
2026-04-01|11:55:20|Web Domain|Namecheap|-12.99
2026-03-19|14:10:00|Conference Pass|Web Summit|-650.00
2026-03-01|08:00:00|Office Rent|Regus|-800.00
2026-02-28|16:10:00|Web Hosting|Bluehost|-145.00
2026-02-15|10:30:00|Invoice 3005 paid|Mark Wood|1850.00
2026-01-22|12:20:00|Business Lunch|Sushi House|-62.30
2026-01-05|09:00:00|Software License|JetBrains|-249.00
2025-12-24|15:45:00|Holiday Bonus|Main Street Corp|1000.00
2025-11-20|10:15:00|Monitor Mount|Amazon|-45.00
2025-10-31|18:00:00|Utility Bill|City Power|-85.20
2025-08-15|13:00:00|Freelance Deposit|TechStart LLC|3000.00
2025-06-12|11:30:45|Mechanical Keyboard|Keychron|-115.00
2025-05-20|08:45:00|Quarterly Taxes|IRS|-1500.00
2025-04-18|14:22:10|Cloud Subscription|Adobe|-55.99
2025-03-05|10:00:00|Invoice 2001 paid|Sarah Jenkins|2200.00
2025-02-14|19:30:00|Valentine's Dinner|Le Bistro|-120.50
